Date,Open,High,Low,Close,Volume
2020-08-18 00:00:00+07:00,2329.9302554949522,2462.4710652380477,2329.9302554949522,2455.495361328125,288206078
2020-08-19 00:00:00+07:00,2455.495248457604,2539.205190270093,2455.495248457604,2483.3984375,239290433
2020-08-24 00:00:00+07:00,2462.471080053532,2546.181213560177,2455.4953761016404,2539.205322265625,214473234
2020-08-25 00:00:00+07:00,2560.1330581628836,2650.819091796875,2539.2055695835556,2650.819091796875,197233406
2020-08-26 00:00:00+07:00,2650.819030724531,2664.770627008425,2581.0606746197113,2608.9638671875,178162157
2020-08-27 00:00:00+07:00,2608.9634912818055,2636.866867171883,2553.1569268442977,2581.060302734375,206786961
2020-08-28 00:00:00+07:00,2588.0363127229957,2608.9638002835122,2546.1813376019636,2574.084716796875,85678499
2020-08-31 00:00:00+07:00,2581.060789003414,2608.9639828077757,2441.5438832681934,2448.519775390625,292651694
2020-09-01 00:00:00+07:00,2476.4226189277515,2532.2293691066775,2427.591759356852,2518.277587890625,216658972
2020-09-02 00:00:00+07:00,2525.253605924392,2553.156982421875,2504.3261203869424,2553.156982421875,117619091
2020-09-03 00:00:00+07:00,2553.15734689919,2574.0848354241543,2476.4230974125358,2497.3505859375,197577052
2020-09-04 00:00:00+07:00,2518.2783209911013,2518.2783209911013,2427.592466057608,2476.42333984375,148013826
2020-09-07 00:00:00+07:00,2476.423156537669,2490.37475343985,2441.5438832681934,2448.519775390625,104297421
2020-09-08 00:00:00+07:00,2448.5194700755437,2490.3744429057147,2448.5194700755437,2455.495361328125,89521636
2020-09-09 00:00:00+07:00,2427.5920968278583,2434.567801062968,2357.833743078085,2378.76123046875,196282440
2020-09-10 00:00:00+07:00,2302.0270331835754,2302.0270331835754,2218.31689453125,2218.31689453125,305637969
2020-09-11 00:00:00+07:00,2106.703057135429,2309.0021823881,2099.727167089349,2267.147216796875,641858446
2020-09-14 00:00:00+07:00,2302.026753664505,2406.664367438828,2302.026753664505,2399.6884765625,303482811
2020-09-15 00:00:00+07:00,2399.6885868411373,2413.6401818922955,2309.0025633093096,2322.954345703125,215087925
2020-09-16 00:00:00+07:00,2350.8575257090383,2364.8091195884576,2260.1715097935635,2274.123291015625,152384862
2020-09-17 00:00:00+07:00,2281.09941936871,2309.002610035692,2211.340880673272,2232.2685546875,184375724
2020-09-18 00:00:00+07:00,2232.2686191076355,2281.099485198036,2225.292727568245,2246.22021484375,223172404
2020-09-21 00:00:00+07:00,2232.26861613949,2267.147699104732,2197.3893458315815,2225.292724609375,125587849
2020-09-22 00:00:00+07:00,2169.4862036991735,2225.2929673421067,2162.510311408135,2183.43798828125,148046607
2020-09-23 00:00:00+07:00,2211.340807547966,2218.3166986553615,2127.6308636298445,2148.558349609375,132670981
2020-09-24 00:00:00+07:00,2113.678955078125,2148.5582211876736,2099.727361039892,2113.678955078125,180569548
2020-09-25 00:00:00+07:00,2134.6066938536987,2218.31683007366,2120.655098155038,2204.365234375,186363128
